1975	28.09
1976	28.58
1977	28.19
1978	28.54
1979	28.15
1980	28.05
1981	27.52
1982	27.24
1983	27.12
1984	27.35
1985	26.93
1986	26.16
1987	25.89
1988	25.28
1989	25.01
1990	24.65
1991	24.01
1992	23.62
1993	23.31
1994	22.92
1995	22.59
1996	21.86
1997	21.47
1998	21.19
1999	20.93
2000	20.67
2001	20.16
2002	19.76
2003	19.15
2004	18.1
2005	17.56
2006	17.28
2007	16.91
2008	16.46
2009	15.81
2010	15.51
2011	15.12
2012	14.7
2013	14.49
2014	14.13
2015	14.02
2016	13.7
2017	13.49
2018	13.14
2019	12.81
